"","Alpha.3.code","fishing_ratio","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","exposure_scaled","Subregion","Continent","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","mean_2_1_A","mean_2_1_B","mean_2_1_C","mean_2_1_D","crit_2_1","crit_2_2_A_raw","crit_2_2_B_raw","crit_2_2_C_raw","crit_2_2_A","crit_2_2_B","crit_2_2_C","mean_2_2_A","mean_2_2_B","mean_2_2_C","crit_2_2","sensitivity","adaptive_capacity","adaptive_capacity_raw","adaptive_capacity_log","crit_3_1_raw","crit_3_2_raw","crit_3_2_A_raw","crit_3_2_B_raw","crit_3_2_C_raw","crit_3_2_D_raw","crit_3_2_E_raw","crit_3_2_F_raw","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","adaptive_capacity_inverse","adaptive_capacity_inverse_raw","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","overall_index_sum","overall_index_prod","overall_index_mean","index_sum_scaled","index_prod_scaled","index_mean_scaled"
"1","AGO",0.00104344458274076,0.0453436997795369,0.0348753706969658,0.0486540912564501,0.532492086984109,0.367960218748948,"Sub-Saharan Africa","Africa",0.00698648875815528,0.0197012113168159,0.757823184220409,0.590832293555343,0.00557025054374124,0.0136754329125574,0.723801599258164,0.424334658875087,0.289877071175299,22.6910685134481,2.20978381271258,19.58,0.681023277919643,1,0.695397773044388,0.61460106027298,0.500070463853402,0.719378497826408,0.967324408989868,0.628600740082584,0.327198978849087,-0.340348583333333,0.462618200856264,0.5735,-0.913848583333333,-1.144541,-1.052086,-0.3190349,-0.999813,-1.048023,-0.9195936,0.265473887814313,0.32275295517994,0.129418593336371,0.288581820575858,0.590553277326607,0.30661074619596,0.299842736939488,0.321510556705356,0.672801021150913,3.08243958333333,0.833031456911924,0.274256618393354,0.672801021150913,1.87379269681178,0.554086448027271,0.936896348405892,0.894332998674467,0.594345151062124,0.879356953981185
"2","ALB",0.00199413545392065,0.0867471392964602,0.0558560005479234,0.0965158198202277,0.328173456122133,0.258483757672727,"Southern Europe","Europe",0.000465534478219093,0.00123943742003304,0.585087195051531,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.0615762472886857,1.08507243778075,0.331200473044292,0.91,0.406312749197135,0.224220080964337,0,0.468971219647869,0.406848262377542,0.215077697734344,0.170547880718557,0.116062064003621,0.694571585480849,0.805309666666667,0.8047958457738,0.7935,0.0118096666666667,-0.5218667,0.114788,0.3821,0.2817102,-0.392243,0.2063695,0.69100580270793,0.545234111677502,0.292735846062612,0.571017165064373,0.744853078073881,0.601037124851526,0.45219902268756,0.609562433325062,0.305428414519151,1.93678133333333,0.120620103283428,0.54399552812453,0.305428414519151,0.684532275475306,0.110126621832507,0.342266137737653,0.350291139918183,0.140837766744642,0.311968368005396
"3","ARE",0.00404536502336913,0.069484129967683,0.0112299833929823,0.0879057929470035,0.463860839720698,0.338063085378043,"Western Asia","Asia",0.00437655557330728,0.00830800810880705,0.738413504771027,0.348542112596232,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.210055702046824,13.2773673106395,0.691074071981468,6.59,0.635584171674528,0.435134750815136,0.40360649787118,0.575715689382921,0.433691009115231,0.610098786445646,0.555632173395129,0.382843937720976,0.829429075405657,1.52739465,0.930404607747212,0.86825,0.65914465,1.151608,1.431291,0.7432382,0.9316171,0.8064476,-1.109334,0.835589941972921,0.699944925180552,0.731660803316943,0.889669374578994,0.824329299129529,0.750351421331109,0.73068883264994,0.272969820076799,0.170570924594343,1.21469635,0.491437847677896,0.714006450786316,0.170570924594343,1.00007185765028,0.223800728101684,0.500035928825141,0.525167638261338,0.272256881369582,0.483904566354333
"4","ARG",0.000289017793111752,0.0126875085013418,0.029482724147915,0.00737637065968729,0.284302618907246,0.179236327250765,"Latin America and the Caribbean","Americas",0.000609617865203273,0.00576585383807504,0.651853074587363,0.245669247178456,0.0156357870048833,0.0170967461781322,0.737187117715115,0.291756559847622,0.15338448136948,1.46243517116516,0.669826955726127,7.63,0.430613744764131,0.4239898683801,0.44117062156221,0.586847705678886,0.41348122221462,0.540929230012489,0.474146204173661,0.31376534277157,0.745141658541765,0.854946033333333,0.851897747741784,0.8475,0.00744603333333332,-0.0834675,0.0259878,0.0199319,-0.2430697,-0.2400078,0.5653015,0.795454545454545,0.548636581724103,0.407720763444591,0.549523571859238,0.66515020539272,0.480470407410726,0.487567575604873,0.701386966632471,0.254858341458235,1.88714496666667,0.395420946648793,0.555682136611558,0.254858341458235,0.829515615357794,0.116553671287546,0.414757807678897,0.434384249089488,0.14861984407154,0.393347817200938
"5","AUS",0.000222450917906165,0.00935548312567366,0.00620726888036452,0.0103510404417423,0.316198471605379,0.198430772558401,"Australia and New Zealand","Oceania",0.0151163229768916,0.00284918865115696,0.608254135492987,0.600866828137563,0.00348572401922216,0.00715105994660637,0.809635348480105,0.428879558330927,0.246953878026611,10.5399770577937,0.878671105443978,4.57,0.596197232965221,0.527863513151535,0.31308824675319,0.72297189803294,0.54259365084217,0.526953574262547,0.538665849619767,0.392809863823189,0.968143383391158,2.50783001666667,1.05960568144191,0.9325,1.57533001666667,1.806201,1.596495,0.9765741,1.929283,1.715279,1.428148,0.959864603481625,0.925368460507015,0.903349807365815,0.929656081499262,0.875679877851521,0.979562377516019,0.941836132773794,0.922126486035678,0.031856616608842,0.234260983333333,0.505290146511135,0.944844544839714,0.031856616608842,0.735577535678378,0.106586447183142,0.367788767839189,0.380696559533413,0.136531944125266,0.341110897458343
"6","BEL",0.00455201937058078,0.209602490434602,0.698908470517698,0.0548696449830212,0,0.120513201686232,"Western Europe","Europe",0.0000128508235988539,0.0000955648544750665,0.576285605213806,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.0585657821708991,0.0110040618743394,0.209560791627209,1.85,0,0.139756597896386,0.117073537137527,0.468971219647869,0.406848262377542,0.215077697734344,0,0.0292828910854496,0.926202427509528,2.10523283333333,1.02054109891698,0.923,1.18223283333333,1.510279,1.171748,0.412356,1.233861,1.3679,1.397253,0.941489361702128,0.833206380997887,0.825734321932652,0.826848438801367,0.75151156101548,0.819791113837445,0.861130142675163,0.914222707725211,0.0737975724904721,0.636858166666667,0,0.850055260781248,0.0737975724904721,0.194310774176704,0.0088935817374986,0.0971553870883521,0,0.0119361197288913,0
"7","BEN",0.000782883395811496,0.033438066142071,0.00128253527736554,0.0436065843908303,0.664334940600547,0.448556155114441,"Sub-Saharan Africa","Africa",0.000936947871438987,0.00354784522238684,0.681910742642881,0.412436843531942,0.00557025054374124,0.0136754329125574,0.723801599258164,0.424334658875087,0.209821827751405,3.70789636925117,0.528436857337152,26.11,0.517464007447153,0.346004466735064,0.776012962661913,0.61460106027298,0.500070463853402,0.719378497826408,0.631004946903035,0.42041338732722,0.365522336981041,0.220974233333333,0.498313285884929,0.52575,-0.304775766666667,-0.3833744,-0.5659866,-0.132421,-0.3391147,-0.6751704,0.2674125,0.17311411992263,0.472828573330045,0.329060104121341,0.406239469554805,0.631621675985227,0.45840433670832,0.386466966509636,0.625178887100942,0.63447766301896,2.52111676666667,0.543658106749502,0.406416976488711,0.63447766301896,1.6266919248829,0.528460051090134,0.813345962441451,0.802759683968785,0.571930680909002,0.777378355571526
"8","BGD",0.00314543364919318,0.135210565345956,0.000744400953031218,0.177732694811743,0.767469428514068,0.586250446323249,"Southern Asia","Asia",0.10074640676524,0.0937768877045161,0.795985947172433,0.797960209640343,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.409485146353503,7.54222655462399,0.468864077216858,52.91,0.554879270586815,0.310961557725653,0.977099274477408,0.575715689382921,0.433691009115231,0.610098786445646,0.723858021668866,0.566671584011185,0.372993400858396,-0.2182206,0.50527197305004,0.59525,-0.8134706,-0.9050215,-0.7483993,-1.03248,-0.8262727,-0.6402364,-0.7284137,0.307543520309478,0.349892716845864,0.192240628410506,0.362087492765897,0.433544352547481,0.346481145795281,0.394583125109049,0.370419556446971,0.627006599141604,2.9603116,0.746952033124014,0.303010977795035,0.627006599141604,1.96020907858887,0.805483861395398,0.980104539294433,0.924509206843776,0.796474893910753,0.913491733052291
"9","BGR",0.000958005238622364,0.0434091490648315,0.123559048315966,0.018063409428297,0.449381089225768,0.310810940033768,"Eastern Europe","Europe",0.000824945473095368,0.00146575824093514,0.620870095075126,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.0721056721423443,18.5727705346175,1.44159126278736,18.43,0.712221144663013,0.75887742159865,0.67857709545524,0.468971219647869,0.406848262377542,0.215077697734344,0.86384389867243,0.467974785407387,0.732689815415763,1.0423127,0.840299870603359,0.80725,0.2350627,-0.1515335,0.2718757,0.4196386,0.5765803,-0.029567,0.3233821,0.717601547388782,0.599460143912264,0.389868168397607,0.609039366831152,0.75311425363415,0.668782707387062,0.536458939565123,0.639497427658491,0.267310184584237,1.6997783,0.609766834867291,0.599796583818333,0.267310184584237,1.1878879594853,0.272605132897745,0.593943979742648,0.616584246592651,0.324972550626784,0.577852194594501
"10","BHR",0.000813928147084841,0.0363715395628998,0.0818424673262678,0.0219923038197471,0.590992204301393,0.401242231451064,"Western Asia","Asia",0.00172256616595488,0.00326405634710447,0.777104141870959,0.311666697083116,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.208352540540779,24.377703247676,1.35436419862451,NA,0.72854304000714,0.7268110779174,0.610098786445646,0.575715689382921,0.433691009115231,0.610098786445646,0.825406892568277,0.516879716554528,0.715007901203704,0.6194196,0.823830608460521,0.84525,-0.2258304,-0.1472867,0.1798774,-0.8404424,0.4460675,0.4127088,-1.405907,0.79110251450677,0.488111398362714,0.390982034360724,0.586771691355601,0.475806352935688,0.638797755829261,0.639212146683757,0.197098409011254,0.284992098796296,2.1226714,0.677743028320984,0.500228738235379,0.284992098796296,1.36397735856834,0.386289990700861,0.681988679284172,0.695427397788217,0.440319690722096,0.661036217214379
