"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country","has_PAA"
"1","AGO",0.368362398519947,0.833031456911924,0.274256618393354,0.672801021150913,0.878906098145664,0.0453201360835313,0.0348753706969658,0.0486540912564501,0.532492086984109,0.289877071175299,0.00698648875815528,0.0197012113168159,0.757823184220409,0.590832293555343,0.967324408989868,0.681023277919643,1,0.695397773044388,0.265473887814313,0.32275295517994,0.129418593336371,0.288581820575858,0.590553277326607,0.30661074619596,0.299842736939488,0.321510556705356,0.734526112185687,0.67724704482006,0.870581406663629,0.711418179424142,0.409446722673393,0.69338925380404,0.700157263060512,0.678489443294644,0.0933675802335317,0.0933675802335317,0.849069145354015,"Africa","Angola","Has PAA"
"2","ALB",0.258728612998144,0.120620103283428,0.54399552812453,0.305428414519151,0.311495314644364,0.0866776048562458,0.0558560005479234,0.0965158198202277,0.328173456122133,0.0615762472886857,0.000465534478219093,0.00123943742003304,0.585087195051531,0,0.170547880718557,0.406312749197135,0.224220080964337,0,0.69100580270793,0.545234111677502,0.292735846062612,0.571017165064373,0.744853078073881,0.601037124851526,0.45219902268756,0.609562433325062,0.30899419729207,0.454765888322498,0.707264153937388,0.428982834935627,0.255146921926119,0.398962875148474,0.54780097731244,0.390437566674938,-0.0541512032235279,-0.0541512032235279,0.35874606233616,"Europe","Albania","Has PAA"
"3","ARE",0.338358382644581,0.491437847677896,0.714006450786316,0.170570924594343,0.483443497681055,0.0693530027371456,0.0112299833929823,0.0879057929470035,0.463860839720698,0.210055702046824,0.00437655557330728,0.00830800810880705,0.738413504771027,0.348542112596232,0.555632173395129,0.635584171674528,0.435134750815136,0.40360649787118,0.835589941972921,0.699944925180552,0.731660803316943,0.889669374578994,0.824329299129529,0.750351421331109,0.73068883264994,0.272969820076799,0.164410058027079,0.300055074819448,0.268339196683057,0.110330625421006,0.175670700870471,0.249648578668891,0.26931116735006,0.727030179923201,-0.0663164166867947,-0.0663164166867947,0.318311313410674,"Asia","United Arab Emirates","No PAA"
"4","ARG",0.179461900495962,0.395420946648793,0.555682136611558,0.254858341458235,0.392857376696043,0.0127253137090997,0.029482724147915,0.00737637065968729,0.284302618907246,0.15338448136948,0.000609617865203273,0.00576585383807504,0.651853074587363,0.245669247178456,0.474146204173661,0.430613744764131,0.4239898683801,0.44117062156221,0.795454545454545,0.548636581724103,0.407720763444591,0.549523571859238,0.66515020539272,0.480470407410726,0.487567575604873,0.701386966632471,0.204545454545455,0.451363418275897,0.592279236555409,0.450476428140762,0.33484979460728,0.519529592589274,0.512432424395127,0.298613033367529,-0.0552934468539632,-0.0552934468539632,0.354949471791502,"Americas","Argentina","No PAA"
"5","AUS",0.198648305606432,0.505290146511135,0.944844544839714,0.031856616608842,0.340619897695767,0.00934839664961317,0.00620726888036452,0.0103510404417423,0.316198471605379,0.246953878026611,0.0151163229768916,0.00284918865115696,0.608254135492987,0.600866828137563,0.538665849619767,0.596197232965221,0.527863513151535,0.31308824675319,0.959864603481625,0.925368460507015,0.903349807365815,0.929656081499262,0.875679877851521,0.979562377516019,0.941836132773794,0.922126486035678,0.0401353965183751,0.074631539492985,0.096650192634185,0.070343918500738,0.124320122148479,0.020437622483981,0.058163867226206,0.077873513964322,-0.111123446539131,-0.111123446539131,0.16938166185572,"Oceania","Australia","No PAA"
"6","BEL",0.121386522358969,0,0.850055260781248,0.0737975724904721,0,0.210703894228603,0.698908470517698,0.0548696449830212,0,0.0585657821708991,0.0000128508235988539,0.0000955648544750665,0.576285605213806,0,0,0,0.139756597896386,0.117073537137527,0.941489361702128,0.833206380997887,0.825734321932652,0.826848438801367,0.75151156101548,0.819791113837445,0.861130142675163,0.914222707725211,0.058510638297872,0.166793619002113,0.174265678067348,0.173151561198633,0.24848843898452,0.180208886162555,0.138869857324837,0.085777292274789,-0.162083675747799,-0.162083675747799,0,"Europe","Belgium","No PAA"
"7","BEN",0.449018545720859,0.543658106749502,0.406416976488711,0.63447766301896,0.776963643025463,0.0333656856171354,0.00128253527736554,0.0436065843908303,0.664334940600547,0.209821827751405,0.000936947871438987,0.00354784522238684,0.681910742642881,0.412436843531942,0.631004946903035,0.517464007447153,0.346004466735064,0.776012962661913,0.17311411992263,0.472828573330045,0.329060104121341,0.406239469554805,0.631621675985227,0.45840433670832,0.386466966509636,0.625178887100942,0.82688588007737,0.527171426669955,0.670939895878659,0.593760530445195,0.368378324014773,0.54159566329168,0.613533033490364,0.374821112899058,0.0818006798243946,0.0818006798243946,0.810623069968506,"Africa","Benin","Has PAA"
"8","BGD",0.586716879133286,0.746952033124014,0.303010977795035,0.627006599141604,0.913062633802302,0.134907888596324,0.000744400953031218,0.177732694811743,0.767469428514068,0.409485146353503,0.10074640676524,0.0937768877045161,0.795985947172433,0.797960209640343,0.723858021668866,0.554879270586815,0.310961557725653,0.977099274477408,0.307543520309478,0.349892716845864,0.192240628410506,0.362087492765897,0.433544352547481,0.346481145795281,0.394583125109049,0.370419556446971,0.692456479690522,0.650107283154136,0.807759371589494,0.637912507234103,0.566455647452519,0.653518854204719,0.605416874890951,0.629580443553029,0.0834368340314337,0.0834368340314337,0.816061320991784,"Asia","Bangladesh","Has PAA"
"9","BGR",0.311284365264886,0.609766834867291,0.599796583818333,0.267310184584237,0.577469039917974,0.0435895625621467,0.123559048315966,0.018063409428297,0.449381089225768,0.0721056721423443,0.000824945473095368,0.00146575824093514,0.620870095075126,0,0.86384389867243,0.712221144663013,0.75887742159865,0.67857709545524,0.717601547388782,0.599460143912264,0.389868168397607,0.609039366831152,0.75311425363415,0.668782707387062,0.536458939565123,0.639497427658491,0.282398452611218,0.400539856087736,0.610131831602393,0.390960633168848,0.24688574636585,0.331217292612938,0.463541060434877,0.360502572341509,-0.0321501130231127,-0.0321501130231127,0.431873308399449,"Europe","Bulgaria","No PAA"
"10","BHR",0.401767548936427,0.677743028320984,0.500228738235379,0.284992098796296,0.660665294028949,0.03647389239404,0.0818424673262678,0.0219923038197471,0.590992204301393,0.208352540540779,0.00172256616595488,0.00326405634710447,0.777104141870959,0.311666697083116,0.825406892568277,0.72854304000714,0.7268110779174,0.610098786445646,0.79110251450677,0.488111398362714,0.390982034360724,0.586771691355601,0.475806352935688,0.638797755829261,0.639212146683757,0.197098409011254,0.20889748549323,0.511888601637286,0.609017965639276,0.413228308644399,0.524193647064312,0.361202244170739,0.360787853316243,0.802901590988746,-0.0261869511427643,-0.0261869511427643,0.451693671943581,"Asia","Bahrain","No PAA"
