"Alpha.3.code","country","national_catch_final","nearshore_area","crit_1_2_raw","crit_1_2"
"ALB","Albania",3304,7187.61751476221,0.912475694609738,0.328173456122133
"DZA","Algeria",90373,30707.4652605451,1.10447275282323,0.532017758302421
"AGO","Angola",126433,41438.5544447561,1.10491951395678,0.532492086984109
"ARG","Argentina",26095,117428.758727036,0.871154590234833,0.284302618907246
"AUS","Australia",198127,754532.071012451,0.901196685214933,0.316198471605379
"BHS","Bahamas",8518,156090.748077333,0.756798035869089,0.162889654347621
"BHR","Bahrain",19676,5030.45116635524,1.16001965808605,0.590992204301393
"BGD","Bangladesh",586393,22350.0827461873,1.32624018781441,0.767469428514068
"BRB","Barbados",2612,4352.20061031845,0.939061975367057,0.356400252402099
"BEL","Belgium",88,1669.84004689447,0.603375378901735,0
"BLZ","Belize",5181,19236.5013563844,0.867017803970892,0.279910570835841
"BEN","Benin",19869,3140.59149120747,1.22909978178904,0.664334940600547
"BRA","Brazil",306317,242609.88823041,1.0188048881922,0.441063728863228
"BRN","Brunei Darussalam",3039,3725.72407525817,0.975224091820581,0.394793764586197
"BGR","Bulgaria",8996,7103.15368213664,1.02663885119547,0.449381089225768
"CPV","Cabo Verde",2380,35261.5039960457,0.742545321210027,0.147757471068955
"KHM","Cambodia",108838,14737.0906164946,1.20832126237094,0.642274275554248
"CMR","Cameroon",55563,10160.4354362383,1.18415011533606,0.616611639646861
"CAN","Canada",119327,1702278.5463418,0.814751046341659,0.224418675099032
"CHL","Chile",895779,288967.175271282,1.08997729257267,0.516627850732737
"CHN","China",6512723,261453.488853521,1.25775641421817,0.694759840308419
"COL","Colombia",77610,68852.2018889793,1.01074839459887,0.432510106584675
"COM","Comoros",5192,15018.5028291087,0.889553939917344,0.30383730673789
"COG","Congo",17340,4163.68760844921,1.17117687454912,0.602837880612025
"COD","Congo DR",14668,1366.34933823932,1.32874783927913,0.770131815467774
"CRI","Costa Rica",21061,28415.8488739978,0.970791540316772,0.390087700979913
"HRV","Croatia",12768,34370.6688648343,0.905192396948254,0.320440740094132
"CUB","Cuba",4321,119497.080361675,0.716038690108917,0.119615239254403
