ISO_TER1,flag_gfw,mmsi
AGO,AGO,29
AGO,CHN,8
AGO,ESP,15
AGO,FRA,1
AGO,GEO,4
AGO,JPN,1
AGO,LTU,1
AGO,NAM,5
ALB,ALB,25
ALB,ITA,3
ALB,MNE,1
ARE,IRN,34
ARE,JPN,1
ARE,PAK,5
ARE,QAT,4
ARE,TZA,1
ARG,ARG,253
ARG,CHL,1
ARG,URY,30
ASM,CHN,2
ASM,COK,4
ASM,TWN,8
ASM,USA,15
ATF,AUS,1
ATF,FRA,9
ATG,CAN,1
ATG,KNA,1
ATG,USA,1
AUS,AUS,211
AUS,ESP,1
AUS,JPN,1
AUS,NCL,2
AUS,PNG,1
BEL,BEL,26
BEL,FRA,3
BEL,GBR,6
BEL,NLD,68
BEN,GHA,3
BES,KNA,1
BGD,RUS,1
BGR,BGR,80
BHR,BHR,113
BHR,QAT,3
BHR,SAU,30
BHS,USA,12
BLM,KNA,1
BRA,AFG,1
BRA,BRA,176
BRA,DNK,1
BRA,FRA,7
BRA,FRO,1
BRA,GRL,1
BRA,KNA,1
BRA,SLB,1
CAN,CAN,840
CAN,EST,1
CAN,JPN,2
CAN,PRT,1
CAN,RUS,1
CAN,USA,51
CHL,ARG,5
CHL,CHL,74
CHL,CHN,4
CHL,KOR,6
CHL,PER,3
CHL,POL,1
CHL,RUS,3
CHL,UKR,4
CHN,CHN,38323
CHN,COK,1
CHN,HKG,17
CHN,JPN,11
CHN,KOR,4
CHN,MUS,1
CHN,PER,1
CHN,RUS,27
CHN,TWN,168
CHN,UNK,258
CHN,VNM,62
CIV,BLZ,4
CIV,CHN,6
CIV,CPV,1
CIV,CUW,3
CIV,ESP,8
CIV,FRA,4
CIV,GHA,12
CIV,GTM,2
CIV,PAN,1
CIV,SEN,1
CIV,SLV,3
CMR,CHN,14
CMR,CMR,10
COD,COK,1
COG,ESP,4
COG,FRA,1
COG,NGA,1
COK,CHN,8
COL,COL,1
COL,ECU,1
COL,JPN,1
COL,VEN,9
CPV,AGO,1
CPV,CHN,1
CPV,CPV,1
CPV,ESP,12
CPV,JPN,4
CPV,SEN,1
CRI,VEN,2
CYP,CYP,26
CYP,EGY,1
CYP,GRC,1
CYP,ISR,1
CYP,ITA,3
CYP,MAR,1
CYP,TUR,25
DEU,CHE,1
DEU,DEU,190
