ISO_TER1,flag_gfw,mmsi
ABW,RUS,1
AGO,AGO,30
AGO,BLZ,1
AGO,CHN,9
AGO,COK,1
AGO,CPV,1
AGO,CUW,1
AGO,ESP,20
AGO,FRA,2
AGO,GEO,6
AGO,GTM,1
AGO,JPN,1
AGO,LTU,1
AGO,NAM,5
AGO,NGA,1
AGO,SEN,1
AGO,SLV,2
AIA,USA,1
AIA,VCT,1
ALB,ALB,25
ALB,GRC,1
ALB,ITA,3
ALB,MNE,1
ALB,SVN,1
ARE,CHN,1
ARE,IRN,38
ARE,JPN,1
ARE,PAK,5
ARE,QAT,5
ARE,TZA,1
ARG,ARE,1
ARG,ARG,353
ARG,BLZ,1
ARG,CHL,8
ARG,CHN,157
ARG,ESP,2
ARG,KIR,2
ARG,KOR,9
ARG,POL,1
ARG,RUS,2
ARG,TWN,7
ARG,UKR,3
ARG,URY,32
ASM,CHN,3
ASM,COK,7
ASM,ECU,1
ASM,ESP,2
ASM,KIR,1
ASM,NZL,1
ASM,TWN,23
ASM,USA,43
ASM,VUT,4
ATF,AUS,2
ATF,CHN,1
ATF,FRA,10
ATG,CAN,1
ATG,KNA,1
ATG,USA,1
ATG,VCT,1
AUS,AUS,219
AUS,ESP,1
AUS,JPN,4
AUS,NCL,2
AUS,NZL,4
AUS,PNG,2
BEL,BEL,66
BEL,FRA,18
BEL,GBR,14
BEL,IRL,1
BEL,NLD,80
BEL,USA,1
BEN,GHA,6
BEN,NGA,1
BES,KNA,1
BES,VCT,1
BES,VEN,1
BGD,RUS,2
BGR,BGR,81
BGR,ROU,2
BHR,BHR,117
BHR,QAT,4
BHR,SAU,32
BHS,USA,23
BLM,KNA,1
BLM,USA,1
BLM,VCT,1
BMU,BMU,1
BMU,CAN,1
BMU,USA,2
BRA,AFG,1
BRA,ARG,1
BRA,BRA,195
BRA,DNK,1
BRA,ESP,1
BRA,FLK,9
BRA,FRA,7
BRA,FRO,1
BRA,GRL,1
BRA,KNA,1
BRA,PRT,1
BRA,SLB,1
BRB,FRA,2
BRB,JPN,5
CAN,CAN,976
CAN,ESP,1
CAN,EST,2
CAN,FRA,1
CAN,JPN,4
CAN,NOR,2
CAN,PRT,2
CAN,RUS,2
CAN,SPM,3
CAN,USA,321
CHL,ARG,5
CHL,CHL,74
CHL,CHN,162
CHL,ESP,2
CHL,KOR,21
CHL,PER,5
CHL,POL,1
CHL,RUS,3
CHL,TWN,8
CHL,UKR,4
CHL,USA,1
CHN,CHN,40106
CHN,CIV,1
CHN,COK,1
CHN,DNK,1
CHN,FSM,2
CHN,HKG,18
CHN,HND,1
CHN,JPN,12
CHN,KOR,7
CHN,MHL,2
CHN,MLT,1
CHN,MUS,1
CHN,PER,1
CHN,RUS,52
CHN,SEN,1
CHN,TWN,249
CHN,UNK,293
CHN,VNM,76
CHN,VUT,10
CIV,BLZ,4
CIV,CHN,6
CIV,CPV,1
CIV,CUW,4
CIV,ESP,11
CIV,FRA,10
CIV,GHA,20
CIV,GTM,2
CIV,PAN,2
CIV,SEN,2
CIV,SLV,3
CMR,CHN,14
CMR,CMR,10
COD,AGO,2
COD,COK,1
COG,CHN,1
COG,ESP,4
COG,FRA,1
COG,NGA,1
COK,CHN,22
COK,ESP,1
COK,KIR,1
COK,KOR,1
COK,TWN,5
COK,USA,5
COK,VUT,1
COL,COL,6
COL,ECU,2
COL,JPN,1
COL,PAN,2
COL,PRT,1
COL,RUS,1
COL,VEN,16
COM,CHN,1
COM,KOR,1
CPV,AGO,1
CPV,ARG,2
CPV,BLZ,3
CPV,CHN,5
CPV,CPV,1
CPV,CUW,2
CPV,ESP,45
CPV,FLK,12
CPV,FRA,3
CPV,GBR,1
CPV,ITA,1
CPV,JPN,35
CPV,KOR,4
CPV,NOR,1
CPV,PRT,8
CPV,SEN,5
CPV,SLV,1
CRI,CHN,1
CRI,ESP,1
CRI,PAN,2
CRI,PRT,1
CRI,USA,6
CRI,VEN,6
CUB,CAN,1
CUW,VEN,1
CYM,USA,1
CYP,CYP,26
CYP,EGY,1
CYP,GRC,2
CYP,ISR,1
CYP,ITA,3
CYP,MAR,1
CYP,TUR,36
DEU,BEL,2
DEU,CHE,1
DEU,DEU,210
DEU,DNK,98
DEU,ESP,1
DEU,FIN,1
DEU,GBR,10
DEU,GRL,1
DEU,IRL,3
DEU,ISL,1
DEU,LTU,1
DEU,NLD,91
DEU,NOR,2
DEU,POL,46
DEU,RUS,7
DEU,SWE,9
DEU,USA,1
DJI,CHN,4
DJI,ESP,1
DJI,FRA,2
DJI,RUS,4
DJI,SEN,1
DJI,TUR,1
DMA,CAN,1
DMA,ECU,1
