eez,dist_km,area_km2,ais_fishing,dark_fishing,ISO_TER1,GEONAME,SOVEREIGN1,fishing_per_km2
5670,5,2567.515669,0.592884156,4.277006415,ALB,Albanian Exclusive Economic Zone,Albania,0.001896733
5670,10,3953.664064,1.23326558,7.861455819,ALB,Albanian Exclusive Economic Zone,Albania,0.002300327
5670,15,5177.870307,1.675757003,10.19201007,ALB,Albanian Exclusive Economic Zone,Albania,0.002292017
5670,20,6212.706234,1.903003215,11.43143758,ALB,Albanian Exclusive Economic Zone,Albania,0.002146318
5670,25,7187.617515,2.051510891,12.28157202,ALB,Albanian Exclusive Economic Zone,Albania,0.001994135
8378,5,7854.56791,0.082241024,20.49536002,DZA,Algerian Exclusive Economic Zone,Algeria,0.002619826
8378,10,13811.00066,0.114398595,31.73664668,DZA,Algerian Exclusive Economic Zone,Algeria,0.002306208
8378,15,19584.4771,0.134623096,37.6814613,DZA,Algerian Exclusive Economic Zone,Algeria,0.001930921
8378,20,25199.7009,0.150173583,42.32407851,DZA,Algerian Exclusive Economic Zone,Algeria,0.001685506
8378,25,30707.46526,0.170903016,45.32992275,DZA,Algerian Exclusive Economic Zone,Algeria,0.001481751
8444,5,1258.969434,0.042553191,0.024292968,ASM,American Samoa Exclusive Economic Zone,United States,5.31E-05
8444,10,2787.468722,0.14893617,0.127931323,ASM,American Samoa Exclusive Economic Zone,United States,9.93E-05
8444,15,4762.110014,0.219858156,0.193089298,ASM,American Samoa Exclusive Economic Zone,United States,8.67E-05
8444,20,7206.857614,0.276595745,0.233229191,ASM,American Samoa Exclusive Economic Zone,United States,7.07E-05
8444,25,10115.71871,0.312056738,0.25345406,ASM,American Samoa Exclusive Economic Zone,United States,5.59E-05
8478,5,11006.47225,1.312114661,8.761118653,AGO,Angolan Exclusive Economic Zone,Angola,0.00091521
8478,10,18764.2789,3.185618426,19.41704163,AGO,Angolan Exclusive Economic Zone,Angola,0.001204558
8478,15,26422.03838,4.889206084,26.16399511,AGO,Angolan Exclusive Economic Zone,Angola,0.001175277
8478,20,33974.86615,6.073951232,31.50148057,AGO,Angolan Exclusive Economic Zone,Angola,0.001105977
8478,25,41438.55444,7.384467513,35.85436764,AGO,Angolan Exclusive Economic Zone,Angola,0.001043445
8412,5,822.4156631,0,0.023703228,AIA,Anguilla Exclusive Economic Zone,United Kingdom,2.88E-05
8412,10,1674.773032,0,0.031372056,AIA,Anguilla Exclusive Economic Zone,United Kingdom,1.87E-05
8412,15,2706.898722,0,0.047001801,AIA,Anguilla Exclusive Economic Zone,United Kingdom,1.74E-05
8412,20,3977.260698,0,0.062944464,AIA,Anguilla Exclusive Economic Zone,United Kingdom,1.58E-05
8412,25,5219.329357,0,0.085847817,AIA,Anguilla Exclusive Economic Zone,United Kingdom,1.64E-05
8414,5,1136.107086,0.004761905,0.102991423,ATG,Antigua and Barbuda Exclusive Economic Zone,Antigua and Barbuda,9.48E-05
8414,10,2379.431134,0.004761905,0.245206484,ATG,Antigua and Barbuda Exclusive Economic Zone,Antigua and Barbuda,0.000105054
8414,15,4131.16058,0.004761905,0.434690354,ATG,Antigua and Barbuda Exclusive Economic Zone,Antigua and Barbuda,0.000106375
8414,20,6485.54312,0.004761905,0.652984571,ATG,Antigua and Barbuda Exclusive Economic Zone,Antigua and Barbuda,0.000101417
8414,25,8813.778731,0.008438375,0.782029624,ATG,Antigua and Barbuda Exclusive Economic Zone,Antigua and Barbuda,8.97E-05
8466,5,34657.48264,5.817995178,5.479368713,ARG,Argentinean Exclusive Economic Zone,Argentina,0.000325972
8466,10,57057.81491,9.836050567,9.417301546,ARG,Argentinean Exclusive Economic Zone,Argentina,0.000337436
8466,15,78111.24063,13.54571846,12.78515817,ARG,Argentinean Exclusive Economic Zone,Argentina,0.000337095
8466,20,98305.0917,16.10417136,14.9126617,ARG,Argentinean Exclusive Economic Zone,Argentina,0.000315516
8466,25,117428.7587,17.69016367,16.24883703,ARG,Argentinean Exclusive Economic Zone,Argentina,0.000289018
26519,5,524.4281071,0.00693243,0.081795762,ABW,Aruban Exclusive Economic Zone,Netherlands,0.00016919
26519,10,1116.211616,0.01386486,0.207521122,ABW,Aruban Exclusive Economic Zone,Netherlands,0.000198337
26519,15,1889.627471,0.017325067,0.26846462,ABW,Aruban Exclusive Economic Zone,Netherlands,0.000151241
26519,20,2636.438075,0.017325067,0.324721625,ABW,Aruban Exclusive Economic Zone,Netherlands,0.000129738
26519,25,3485.373716,0.020785275,0.660390136,ABW,Aruban Exclusive Economic Zone,Netherlands,0.000195438
8323,5,236858.3389,5.723913436,50.86318416,AUS,Australian Exclusive Economic Zone,Australia,0.000238907
8323,10,388439.3746,11.18857238,87.7308085,AUS,Australian Exclusive Economic Zone,Australia,0.000254658
