Country,country_ISO_alpha3,IHH Tier,IHH Data Source,FAO Region,FAO Sub-Region,Fisheries (Inland/Marine),Country Area CFalvo (sq. Km),Proportion_ArcticZone,Proportion_BorealZone,Proportion_SubtropicZone,Proportion_TemperateZone,Proportion_TropicsZone,Proportion_UndefinedZone,Total Population 2018,GDP 2018,HDI 2018,HDI category 2018,GINI 2017,GNI per capita 2018,"Poverty Headcount Ratio 
(@ national poverty lines) 2018 ",Rural Poverty Headcount Ratio (@ national poverty lines) 2015,Literacy Rate 2018,LIFDC_2018,Corruption Perceptions Index 2018,corruption,WGI Control of Corruption Index Standard Error 2018,gov_effectiveness,Government Effectiveness Standard Error 2018,political_stability,Political Stability and Absence of Violence Standard Error 2018,regulatory_quality,Regulatory Quality Standard Error 2018,rule_of_law,WGI Rule of Law Index Standard Error 2018,voice_accountability,WGI Voice and Accountability Index Standard Error 2018,Total Natural Resource Rents (% of GDP) 2017,% of Territorial Waters in MPA 2018,LeastDeveloped_2018,LandLockedDeveloping_2018,SmallIslandDeveloping_2018
Aruba,ABW,4,No_AQ_CCS,Americas,Caribbean,M,238.815,NA,NA,NA,NA,NA,NA,105845,ND,NA,NA,ND,ND,ND,ND,97.80742,NA,NA,1.252027,0.2826696,1.058392,0.3318715,1.366119,0.2534463,0.853144,0.3641367,1.297575,0.2096753,1.305925,0.2493472,0.003509322,0.000105157,NA,NA,yes
Afghanistan,AFG,4,No_AQ_CCS,Asia,Southern Asia,I,641389,0,0,0.992465123,0.007534877,0,0,37172386,19362969582,0.496,low,ND,550,ND,ND,43.01972,yes,16,-1.496648,0.1572958,-1.457285,0.2380511,-2.74673,0.2277857,-1.132634,0.1935247,-1.668478,0.1587239,-0.9947197,0.1348217,0.693530677,ND,yes,yes,NA
Angola,AGO,2,No_AQ_CCS,Africa,Middle Africa,IM,1248650,0,0,0.01020222,0,0.98979778,0,30809762,1.06E+11,0.574,medium,ND,3370,ND,ND,ND,NA,19,-1.144541,0.1479328,-1.052086,0.1926641,-0.3190349,0.225094,-0.999813,0.1780088,-1.048023,0.1533215,-0.9195936,0.1311508,16.35012001,0.004929827,yes,NA,NA
Anguilla,AIA,2,AQ,Americas,Caribbean,M,133.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.238614,0.4023822,0.8301269,0.4585745,1.297391,0.2825343,0.8194681,0.4940268,-0.0986837,0.4841593,ND,ND,NA,NA,NA,NA,yes
Albania,ALB,4,AQ,Europe,Eastern Europe,IM,28982.4,0,0,0.815389877,0.18458755,0,2.26E-05,2866376,15058879129,0.791,high,ND,4860,ND,ND,98.14115,NA,36,-0.5218667,0.1360668,0.114788,0.22757,0.3821,0.2157381,0.2817102,0.2076896,-0.392243,0.145667,0.2063695,0.1280458,1.698859222,2.718032979,NA,NA,NA
United Arab Emirates,ARE,3,No_AQ_CCS,Asia,Western Asia,M,79711.8,0,0,0.240034869,0,0.75993228,3.29E-05,9630959,4.14E+11,0.866,very high,ND,41010,ND,ND,ND,NA,70,1.151608,0.1443323,1.431291,0.2132453,0.7432382,0.211271,0.9316171,0.1982157,0.8064476,0.1559605,-1.109334,0.1384398,13.68873592,11.27035386,NA,NA,NA
Argentina,ARG,1,AQ_CCS,Americas,South America,IM,2782530,0.00218564,0.005225509,0.7801556,0.106114966,0.106318285,0,44494502,5.18E+11,0.83,very high,41.2,12370,32,ND,99.00387,NA,40,-0.0834675,0.1182229,0.0259878,0.1831254,0.0199319,0.211271,-0.2430697,0.1753201,-0.2400078,0.1397771,0.5653015,0.1280941,1.322812748,3.796992436,NA,NA,NA
Armenia,ARM,4,No_AQ_CCS,Asia,Western Asia,I,29598.3,0,0,0,1,0,0,2951776,12433089919,0.76,high,33.6,4230,ND,ND,ND,NA,35,-0.3491127,0.1352468,-0.0243394,0.2063741,-0.4187803,0.2209855,0.2692558,0.1935906,-0.1500262,0.1446891,-0.1134583,0.1345383,5.815620913,ND,NA,yes,NA
American Samoa,ASM,4,No_AQ_CCS,Oceania,Polynesia,M,298.529,NA,NA,NA,NA,NA,NA,55465,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,1.845534,0.4023822,0.5514148,0.4585745,1.205116,0.3255743,-0.2858895,0.4940268,1.363964,0.4841593,ND,ND,0,8.715875805,NA,NA,yes
Antigua and Barbuda,ATG,3,AQ,Americas,Caribbean,M,580.174,0,0,0,0,0.996331468,0.003668532,96286,1623804016,0.776,high,ND,15810,ND,ND,ND,NA,NA,0.2766346,0.2648852,-0.0060096,0.4585745,0.7261432,0.2550432,0.411548,0.360859,0.3933258,0.3020779,0.618535,0.2410059,0,0.181504473,NA,NA,NA
