marine_inland_char,region,country,pop,,,
inland,Africa,AGO,1711486.6,,,
inland,Africa,BDI,4896177.47,,,
inland,Africa,BEN,4146702.12,,,
inland,Africa,BFA,137649.588,,,
inland,Africa,BWA,12493.8739,,,
inland,Africa,CIV,8561765.54,,,
inland,Africa,CMR,1999263.48,,,
inland,Africa,COD,13665200.6,,,
inland,Africa,COG,2359713.66,,,
inland,Africa,EGY,13106782.8,,,
inland,Africa,ETH,10110004.3,,,
inland,Africa,GAB,87088.8693,,,
inland,Africa,GHA,5670032.4,,,
inland,Africa,GIN,609219.414,,,
inland,Africa,GMB,154169.524,,,
inland,Africa,GNB,165203.905,,,
inland,Africa,KEN,5830930.65,,,
inland,Africa,LBR,74959.6538,,,
inland,Africa,MAR,1621245.77,,,
inland,Africa,MDG,847490.038,,,
inland,Africa,MLI,748996.838,,,
inland,Africa,MOZ,2276924.44,,,
inland,Africa,MRT,196471.358,,,
inland,Africa,MWI,4366238.52,,,
inland,Africa,NAM,31419.1652,,,
inland,Africa,NER,207138.703,,,
inland,Africa,NGA,17404734.1,,,
inland,Africa,RWA,5853425.46,,,
inland,Africa,SDN,2349188.12,,,
inland,Africa,SEN,938701.906,,,
inland,Africa,SWZ,20224.4704,,,
inland,Africa,TCD,843254.681,,,
inland,Africa,TGO,2544478.85,,,
inland,Africa,TUN,428704.124,,,
inland,Africa,TZA,11524342.7,,,
inland,Africa,UGA,17070561.7,,,
inland,Africa,ZAF,1134568.53,,,
inland,Africa,ZMB,1396559.39,,,
inland,Africa,ZWE,1027042.04,,,
inland,Americas,ARG,1952726.34,,,
inland,Americas,BLZ,9604.80168,,,
inland,Americas,BOL,717620.355,,,
inland,Americas,BRA,33907105.5,,,
inland,Americas,CAN,19577248.1,,,
inland,Americas,CHL,921047.679,,,
inland,Americas,COL,5764486.78,,,
inland,Americas,CRI,444216.353,,,
inland,Americas,CUB,1271468.38,,,
inland,Americas,DOM,200246.466,,,
inland,Americas,ECU,592277.123,,,
inland,Americas,GTM,1760473.39,,,
inland,Americas,GUY,113.309129,,,
inland,Americas,HND,553113.445,,,
inland,Americas,HTI,1093747.97,,,
inland,Americas,MEX,27563830.6,,,
inland,Americas,NIC,2547018.86,,,
inland,Americas,PAN,2000529.49,,,
inland,Americas,PER,994839.083,,,
inland,Americas,PRY,3081490.86,,,
inland,Americas,SLV,3320716.93,,,
inland,Americas,SUR,37093.7791,,,
inland,Americas,URY,278125.434,,,
inland,Americas,USA,83729529.1,,,
inland,Americas,VEN,4534630.64,,,
inland,Asia,AFG,341237.239,,,
inland,Asia,ARM,315131.314,,,
inland,Asia,AZE,4818062.2,,,
inland,Asia,BGD,7525169.93,,,
inland,Asia,BTN,892.696869,,,
inland,Asia,CHN,157997539,,,
inland,Asia,GEO,21777.494,,,
inland,Asia,IDN,9361993.21,,,
inland,Asia,IND,78890417.9,,,
inland,Asia,IRN,6548185.74,,,
inland,Asia,IRQ,7023526.68,,,
inland,Asia,ISR,865303.815,,,
inland,Asia,JOR,1042354.48,,,
inland,Asia,JPN,9151231.27,,,
inland,Asia,KAZ,2056176.42,,,
inland,Asia,KGZ,972484.515,,,
inland,Asia,KHM,994001.393,,,
inland,Asia,KOR,3138196.67,,,
inland,Asia,LAO,312020.117,,,
inland,Asia,LKA,3773260.77,,,
inland,Asia,MMR,1628900.6,,,
inland,Asia,MNG,67964.7846,,,
inland,Asia,MYS,596294.442,,,
inland,Asia,NPL,538497.736,,,
inland,Asia,PAK,8071995.45,,,
inland,Asia,PHL,27127821,,,
inland,Asia,SYR,594300.669,,,
inland,Asia,THA,4733522.56,,,
inland,Asia,TJK,1072494.44,,,
inland,Asia,TKM,211665.643,,,
inland,Asia,TUR,16488655.5,,,
inland,Asia,UZB,2481816.61,,,
inland,Asia,VNM,859813.186,,,
inland,Europe,ALB,548943.442,,,
inland,Europe,AUT,592186.07,,,
inland,Europe,BEL,11017.8928,,,
inland,Europe,BGR,53809.9603,,,
inland,Europe,BLR,188222.432,,,
inland,Europe,CHE,5891337.45,,,
inland,Europe,DEU,2629840.88,,,
inland,Europe,DNK,668701.686,,,
inland,Europe,ESP,833599.889,,,
inland,Europe,EST,124616.46,,,
inland,Europe,FIN,2171641.49,,,
inland,Europe,FRA,2937387.72,,,
inland,Europe,GBR,1295136.28,,,
inland,Europe,GRC,468678.361,,,
inland,Europe,HUN,746237.931,,,
inland,Europe,IRL,635222.357,,,
inland,Europe,ISL,25755.2824,,,
inland,Europe,ITA,6598283.77,,,
inland,Europe,LTU,382848.102,,,
inland,Europe,LVA,88419.7538,,,
inland,Europe,MDA,820367.123,,,
inland,Europe,MKD,212014.421,,,
inland,Europe,MNE,239448.943,,,
inland,Europe,NLD,6137952.71,,,
inland,Europe,NOR,1544106.39,,,
inland,Europe,POL,822907.141,,,
inland,Europe,PRT,522029.334,,,
inland,Europe,ROU,371937.888,,,
inland,Europe,RUS,25277711.4,,,
inland,Europe,SRB,110859.181,,,
inland,Europe,SWE,5499589.17,,,
inland,Europe,UKR,10011468.7,,,
inland,Oceania,AUS,1294437.18,,,
inland,Oceania,NZL,2370887.17,,,
inland,Oceania,PNG,141551.122,,,
