Country,Alpha_code_3,# of PAAs,Year enacted
Albania,ALB,1,2009
Angola,AGO,1,2002
Bahamas,BHS,1,2017
Bangladesh,BGD,1,1998
Benin,BEN,1,2011
Cabo Verde,CPV,1,2020
Cambodia,KHM,1,2006
Cameroon,CMR,1,1977
Chile,CHL,1,1989
Colombia,COL,1,2017
"Congo, Republic of",COG,1,2014
Ecuador,ECU,1,1990
Equatorial Guinea,GNQ,1,2003
Gabon,GAB,1,2005
Gambia,GMB,1,2008
Ghana,GHA,1,2002
Guinea,GIN,1,2014
Guinea Bissau,GNB,1,2011
Iran,IRN,1,1984
Israel,ISR,1,2000
Latvia,LVA,1,2007
Liberia,LIB,1,2010
Mozambique,MOZ,1,2013
Nicaragua,NIC,1,1014
Nigeria,NGA,1,1992
Pakistan,PAK,1,1995
Palau,PLW,1,2015
Papua New Guinea,PNG,1,1014
Peru,PER,1,2001
Philippines,PHL,1,1998
Sao Tome and Principe,STP,1,2012
Senegal,SEN,1,2015
Sierra Leone,SLE,1,2018
Somalia,SOM,1,1985
Suriname,SUR,1,2013
Thailand,THA,1,2015
Tuvalu,TUV,1,2014
Vanuatu,VUT,1,2012
