"","Driver_Component","Mean","Median","Min","Max","SD"
"1","Adaptive Capacity",0.408310901153364,0.376187460827971,0,1,0.252238265280243
"2","Crit 1_1",0.0551856120654085,0.0286312256986075,0.00000946986744960684,0.758616658949873,0.0921796047896324
"3","Crit 1_1_a",0.0497683065842912,0.00906071757744391,0,1,0.126188232595986
"4","Crit 1_1_b",0.0569148087456214,0.0220301525647057,0,1,0.107461498890551
"5","Crit 1_2",0.42963226043123,0.414668918457178,0,1,0.189205207349636
"6","Crit 2_1",0.209357091823672,0.207190945377059,0,1,0.129191856337624
"7","Crit 2_1_a",0.019549391043795,0.00197386287815308,0,1,0.0913462869667975
"8","Crit 2_1_b",0.0358713456532358,0.0045130179671612,0,1,0.120006879546721
"9","Crit 2_1_c",0.701193714080331,0.723801599258164,0.373983192910506,1,0.114148876475552
"10","Crit 2_1_d",0.340612730667745,0.360678247697705,0,1,0.241585288769628
"11","Crit 2_2",0.60103769803372,0.607876816920897,0,1,0.177633985201812
"12","Crit 2_2_a",0.578363222353108,0.578035364564587,0,1,0.138088272377894
"13","Crit 2_2_b",0.449554851010289,0.439589431820474,0,1,0.184578601982278
"14","Crit 2_2_c",0.545899447747285,0.57386591481256,0,1,0.246211959559355
"15","Crit 3_1",0.550913473162476,0.582688588007737,0,1,0.28441693535093
"16","Crit 3_2",0.53585653276154,0.501793537948619,0.069937261290321,0.981633282416585,0.21515415656836
"17","Crit 3_2_a",0.418807917135171,0.37349894443968,0,1,0.255710678011547
"18","Crit 3_2_b",0.540688638962726,0.533510711554935,0,1,0.236734139533968
"19","Crit 3_2_c",0.636113927357538,0.659236422359439,0,1,0.20558136717027
"20","Crit 3_2_d",0.530442157299011,0.510782277759781,0,1,0.225908517546341
"21","Crit 3_2_e",0.53083056274515,0.503825437305846,0,1,0.22596276130397
"22","Crit 3_2_f",0.558255993069644,0.600010540076595,0,1,0.251465387058605
"23","Exposure",0.305799499762167,0.278947727221955,0,1,0.161931321531636
"24","Sensitivity",0.522508394059794,0.540642861476056,0,1,0.17874322093348
