"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country","has_PAA"
"1","AGO",0.653119880792679,0.920042997549596,0.274256618393354,0.684457766473338,0.938407721258998,0.62140503836989,0.60043676216227,0.645908816552346,0.61885134630969,0.361299490525776,0.00697586951278389,0.0197515312190479,0.770406585209161,0.622478458661206,1,0.506947899014266,1,0.695397773044388,0.343844492440605,0.320116216041916,0.163374840966327,0.298516967845597,0.543022230136703,0.295512625130011,0.294327967723787,0.325942664449071,0.656155507559395,0.679883783958084,0.836625159033673,0.701483032154403,0.456977769863297,0.704487374869989,0.705672032276213,0.674057335550929,0.0467170792667663,0.0467170792667663,0.721441415361725,"Africa","Angola","Has PAA"
"2","ALB",0.496895996098337,0.193075137385513,0.54399552812453,0.318402672085584,0.372963724784965,0.521685003589899,0.502103311902855,0.545733430933223,0.499381005412711,0.146973411405911,0.000470022553759344,0.00129070498706712,0.606645882175349,0,0.138701374290097,0.302455732757644,0.224220080964337,0,0.723974082073434,0.530731491663064,0.318557887011014,0.547801985223728,0.684903115618768,0.577130981699643,0.443882085365211,0.612112895060021,0.276025917926566,0.469268508336936,0.681442112988986,0.452198014776272,0.315096884381232,0.422869018300357,0.556117914634789,0.387887104939979,-0.0227844655783013,-0.0227844655783013,0.309767179108756,"Europe","Albania","Has PAA"
"3","ARE",0.619632110409944,0.564993415989155,0.714006450786316,0.181481649034112,0.555888476486308,0.601377456245261,0.509909307094188,0.696568134572608,0.591893814825493,0.293676167761124,0.00437195618877222,0.00835891283770434,0.752005424179631,0.398927672208045,0.542290467912328,0.473123417251449,0.435134750815136,0.40360649787118,0.853131749460043,0.672929337953171,0.735621673688447,0.82905297996126,0.757982643677347,0.719949865588178,0.717249853531471,0.277719011272325,0.146868250539957,0.327070662046829,0.264378326311553,0.17094702003874,0.242017356322653,0.280050134411822,0.282750146468529,0.722280988727675,-0.048534868593816,-0.048534868593816,0.157241396865363,"Asia","United Arab Emirates","No PAA"
"4","ARG",0.544036205351229,0.488439360039843,0.555682136611558,0.267187722048775,0.523430580045773,0.61793996381103,0.667546521529669,0.571901266601245,0.46926625285476,0.245252510521209,0.000613769736794467,0.00581688905877324,0.669942635932722,0.304011279485078,0.477444421845945,0.320545185858684,0.4239898683801,0.44117062156221,0.817278617710583,0.535334838668697,0.427815846171292,0.528831162838294,0.611615178131479,0.461809110820696,0.478600132591363,0.703337601459058,0.182721382289417,0.464665161331303,0.572184153828708,0.471168837161706,0.388384821868521,0.538190889179304,0.521399867408637,0.296662398540942,-0.0418794314010586,-0.0418794314010586,0.196663139639077,"Americas","Argentina","No PAA"
"5","AUS",0.642721662919462,0.576052108393774,0.944844544839714,0.0333257039496406,0.499791671260832,0.732078344837611,0.69075762373151,0.775901047314118,0.493588790019762,0.323972642900419,0.0150871797768267,0.00290037358774663,0.628609078565918,0.63173689451142,0.528356480587607,0.443804117200089,0.527863513151535,0.31308824675319,0.96414686825054,0.892440785277194,0.898759506194992,0.864346320982601,0.805200239188217,0.939189775691688,0.924513689134601,0.922635180471063,0.03585313174946,0.107559214722806,0.101240493805008,0.135653679017399,0.194799760811783,0.060810224308312,0.075486310865399,0.077364819528937,-0.0683584819757613,-0.0683584819757613,0.0398214040151513,"Oceania","Australia","No PAA"
"6","BEL",0.314941856671541,0,0.850055260781248,0.0775020296058298,0,0.468178451127536,0.584150776334,0.357172531517709,0.297596273479151,0,0.0000183958969868655,0.000146891137847809,0.0519595608202429,0,0,0,0.139756597896386,0.117073537137527,0.947732181425486,0.806014147427823,0.825009750742365,0.773605535536778,0.691025686426676,0.786368819533917,0.845292060185623,0.914783032141579,0.052267818574514,0.193985852572177,0.174990249257635,0.226394464463222,0.308974313573324,0.213631180466083,0.154707939814377,0.085216967858421,-0.0636511153288255,-0.0636511153288255,0.0677042600503657,"Europe","Belgium","No PAA"
"7","BEN",0.463763607131112,0.632354957276121,0.406416976488711,0.640824947263772,0.726039168692056,0.273392128419293,0.158785267025482,0.394784403844614,0.701187385902874,0.292934933919423,0.000940336355225792,0.00359899429610412,0.698438520756794,0.457880607462577,0.642700121685713,0.385195778024184,0.346004466735064,0.776012962661913,0.26133909287257,0.463985371219891,0.353072972935927,0.4023647675022,0.580785213230629,0.440702949764282,0.379358986668114,0.627627337218192,0.73866090712743,0.536014628780109,0.646927027064073,0.5976352324978,0.419214786769371,0.559297050235718,0.620641013331886,0.372372662781808,0.06421134812708,0.06421134812708,0.825064144725918,"Africa","Benin","Has PAA"
"8","BGD",0.659143764753642,0.816437575704812,0.303010977795035,0.63882170101592,0.882700739902833,0.481976707135903,0.260019790970555,0.708771174141985,0.766731505450923,0.465641818741459,0.100542851143084,0.0938234052142157,0.806586427758511,0.81358652731637,0.742362653672503,0.413047379657624,0.310961557725653,0.977099274477408,0.381425485961123,0.346769984864664,0.223067951147846,0.363395047472881,0.39865026615254,0.3336485980758,0.387325871211231,0.374532175127688,0.618574514038877,0.653230015135336,0.776932048852154,0.636604952527119,0.60134973384746,0.6663514019242,0.612674128788769,0.625467824872312,0.0398176874567993,0.0398176874567993,0.680574671171942,"Asia","Bangladesh","Has PAA"
"9","BGR",0.512475042709842,0.699811606516971,0.599796583818333,0.278697218902969,0.615193405968711,0.473682805299776,0.562152537925144,0.390128075962459,0.569241430350738,0.156090795727179,0.000828595101966168,0.00151701419065243,0.640569518428843,0,0.879353401938402,0.530171323986746,0.75887742159865,0.67857709545524,0.747732181425486,0.582514558391671,0.410852420489394,0.581361401256985,0.692499385334848,0.641929522189213,0.526592276541705,0.641852344537883,0.252267818574514,0.417485441608329,0.589147579510606,0.418638598743015,0.307500614665152,0.358070477810787,0.473407723458295,0.358147655462117,-0.0296992341576972,-0.0296992341576972,0.268809354644069,"Europe","Bulgaria","No PAA"
"10","BHR",0.550439587665724,0.761192922942386,0.500228738235379,0.300168907182844,0.670585085173166,0.437339358702661,0.504039581413367,0.375893531876948,0.658851142138774,0.292345991179743,0.00172412474384297,0.00331521998804209,0.788685712767995,0.364904303592314,0.833918260548816,0.542321203177236,0.7268110779174,0.610098786445646,0.813390928725702,0.475696125255452,0.411910809056166,0.561707353078468,0.43751078319976,0.613248964359826,0.627455625566005,0.202343216272488,0.186609071274298,0.524303874744548,0.588089190943834,0.438292646921532,0.56248921680024,0.386751035640174,0.372544374433995,0.797656783727512,-0.0433297594385455,-0.0433297594385455,0.188072500560771,"Asia","Bahrain","No PAA"
