"Model","Latent","Indicator","Est","SE","z","p","Std"
"SEM (measurement portion)","AC","crit_3_1",0.259218815793972,0.0180355851765445,14.3726312873446,0,0.914351720080307
"SEM (measurement portion)","AC","crit_3_2",0.18434120144729,0.0137950891652533,13.3628133344439,0,0.862843166661286
"SEM (measurement portion)","E","crit_1_1",0.0403500759631131,0.0248187223181664,1.62579182948424,0.103993947065827,0.255706222022603
"SEM (measurement portion)","E","crit_1_2",0.308086060638112,0.152883871228655,2.01516391599828,0.0438874769904405,1.70649273001761
"SEM (measurement portion)","S","crit_2_1",0.0799733888350864,0.00923395201429301,8.66079753406749,0,0.624737469749656
"SEM (measurement portion)","S","crit_2_2",0.116522525979284,0.0188825698775745,6.17090399954878,0.000000000679006406656413,0.66060326906706
"CFA (measurement model)","vulnerability","crit_1_1",0.101093424130421,0.127729894782972,0.791462517856066,0.428674140379651,0.061168034028623
"CFA (measurement model)","vulnerability","crit_1_2",1,0,NA,NA,0.522632343503842
"CFA (measurement model)","vulnerability","crit_2_1",0.820143403003742,0.180307182720422,4.54858974905857,0.00000540066102105996,0.60377035699022
"CFA (measurement model)","vulnerability","crit_2_2",1.35948740557676,0.287695479575694,4.72543888274431,0.00000229618889235894,0.727176508518776
"CFA (measurement model)","vulnerability","crit_3_1",-2.46075196292919,0.548963362824035,-4.48254315237055,0.000007375872152382,-0.814807453752723
"CFA (measurement model)","vulnerability","crit_3_2",-1.44397505821982,0.325427593363534,-4.43716232939951,0.00000911525535318702,-0.637724493761688
