"Model","Latent","Indicator","Est","SE","z","p","Std"
"SEM (measurement portion)","AC","crit_3_1",0.276377201346099,0.0178322628617596,15.4987173242481,0,0.968290355728926
"SEM (measurement portion)","AC","crit_3_2",0.175316577137747,0.0138042590539135,12.7001801728754,0,0.820601602704381
"SEM (measurement portion)","E","exposure_scaled",0.176887345638335,0.0142014117348378,12.4556170147795,0,1
"SEM (measurement portion)","S","crit_2_1",0.0776260883985279,0.0130567122939621,5.94530128648276,0.00000000275948819350447,0.606040192703049
"SEM (measurement portion)","S","crit_2_2",0.109674988064584,0.0275834801203339,3.97611133860279,0.0000700513380704759,0.621739412232131
"CFA (measurement model)","vulnerability","crit_1_1_A",-0.438042409325911,0.176901438703907,-2.47619472478737,0.0132791131449919,-0.285273428364205
"CFA (measurement model)","vulnerability","crit_1_1_B",0.352322841213387,0.154626776677004,2.27853706055934,0.0226945990342577,0.148936139522113
"CFA (measurement model)","vulnerability","crit_1_2",1,0,NA,NA,0.45645423173482
"CFA (measurement model)","vulnerability","crit_2_1",0.709857209448367,0.15754453457757,4.50575585723575,0.00000661370946919426,0.456698537232974
"CFA (measurement model)","vulnerability","crit_2_2",1.39584112869485,0.29861639512857,4.67436199574329,0.00000294868833794482,0.65208181047907
"CFA (measurement model)","vulnerability","crit_3_1",-3.20876205415897,0.681181482717325,-4.71058320810305,0.00000247008925335912,-0.926416104130785
"CFA (measurement model)","vulnerability","crit_3_2",-2.18360835363365,0.480038157102304,-4.54882246614469,0.00000539469294946748,-0.842265788780278
