"Driver_Component","Mean","Median","Min","Max","SD"
"Adaptive Capacity",0.406646633797386,0.372214705915631,0,1,0.253403539924985
"Crit 1_1",0.120135200538442,0.0648069909351692,0.0000094838487771865,1,0.161668082996351
"Crit 1_1_a",0.0505392319036169,0.0092892320458626,0,1,0.127042832843435
"Crit 1_1_b",0.142393428558298,0.0634821108218614,0,1,0.195720317328088
"Crit 1_2",0.422498880787902,0.414104657066649,0,0.887989955384084,0.181258292342093
"Crit 2_1",0.211874713307965,0.208155631594758,0,1,0.128598707472412
"Crit 2_1_a",0.0198531777650087,0.00202217051583609,0,1,0.0920418173129727
"Crit 2_1_b",0.0364367732842566,0.00468768210996867,0,1,0.120877837723334
"Crit 2_1_c",0.704849143479999,0.723801599258164,0.373983192910506,1,0.111121511803374
"Crit 2_1_d",0.344783951138791,0.367834968717231,0,1,0.241117569463978
"Crit 2_2",0.603947427836398,0.609037930892214,0,1,0.177104492078808
"Crit 2_2_a",0.579997948042243,0.578716922645402,0,1,0.138304202281049
"Crit 2_2_b",0.456623335210869,0.444906749864726,0.049160887983685,1,0.177174596036819
"Crit 2_2_c",0.54357200673123,0.57386591481256,0,1,0.246853458456344
"Crit 3_1",0.551671732522796,0.586073500967118,0,1,0.286567421053024
"Crit 3_2",0.538771532555097,0.501793537948619,0.069937261290321,0.981633282416585,0.214496797048019
"Crit 3_2_a",0.421238149793083,0.37349894443968,0,1,0.255720444650242
"Crit 3_2_b",0.542968472726467,0.533510711554935,0,1,0.236903005414345
"Crit 3_2_c",0.640849391548097,0.664681541151828,0,1,0.201433834754094
"Crit 3_2_d",0.532419466036124,0.510782277759781,0,1,0.226364444695488
"Crit 3_2_e",0.533445020025026,0.503825437305846,0,1,0.224894402905581
"Crit 3_2_f",0.561708695201784,0.604238914372111,0,1,0.251905168451225
"Exposure",0.302379718892803,0.270945857495681,0,1,0.177593484447895
"Sensitivity",0.526280311046185,0.543959660802793,0,1,0.177278086681068
