"","Variable","Mean","Median","Min","Max","SD"
"1","adaptive_capacity_inverse_scaled",0.407,0.372,0,1,0.253
"2","crit_1_1",0.12,0.065,0,1,0.162
"3","crit_1_1_A",0.051,0.009,0,1,0.127
"4","crit_1_1_B",0.142,0.063,0,1,0.196
"5","crit_1_2",0.422,0.414,0,0.888,0.181
"6","crit_2_1_A",0.02,0.002,0,1,0.092
"7","crit_2_1_B",0.036,0.005,0,1,0.121
"8","crit_2_1_C",0.705,0.724,0.374,1,0.111
"9","crit_2_1_D",0.345,0.368,0,1,0.241
"10","crit_2_2_A",0.58,0.579,0,1,0.138
"11","crit_2_2_B",0.457,0.445,0.049,1,0.177
"12","crit_2_2_C",0.544,0.574,0,1,0.247
"13","crit_3_1",0.552,0.586,0,1,0.287
"14","crit_3_2_A",0.421,0.373,0,1,0.256
"15","crit_3_2_B",0.543,0.534,0,1,0.237
"16","crit_3_2_C",0.641,0.665,0,1,0.201
"17","crit_3_2_D",0.532,0.511,0,1,0.226
"18","crit_3_2_E",0.533,0.504,0,1,0.225
"19","crit_3_2_F",0.562,0.604,0,1,0.252
"20","exposure_scaled",0.302,0.271,0,1,0.178
"21","sensitivity_scaled",0.526,0.544,0,1,0.177
