"","Variable","Mean","Median","Min","Max","SD"
"1","adaptive_capacity_inverse_scaled",0.418,0.39,0,1,0.253
"2","crit_1_1",0.595,0.632,0.127,0.966,0.177
"3","crit_1_1_A",0.567,0.601,0,1,0.222
"4","crit_1_1_B",0.556,0.561,0.13,0.986,0.172
"5","crit_1_2",0.62,0.608,0.33,1,0.127
"6","crit_2_1_A",0.02,0.002,0,1,0.091
"7","crit_2_1_B",0.036,0.005,0,1,0.12
"8","crit_2_1_C",0.712,0.738,0.052,1,0.123
"9","crit_2_1_D",0.377,0.41,0,1,0.244
"10","crit_2_2_A",0.431,0.43,0,0.744,0.103
"11","crit_2_2_B",0.45,0.44,0,1,0.185
"12","crit_2_2_C",0.546,0.574,0,1,0.246
"13","crit_3_1",0.599,0.627,0.107,1,0.254
"14","crit_3_2_A",0.438,0.395,0.04,0.991,0.243
"15","crit_3_2_B",0.521,0.515,0.044,0.926,0.209
"16","crit_3_2_C",0.585,0.606,0,0.92,0.189
"17","crit_3_2_D",0.51,0.491,0.002,0.959,0.216
"18","crit_3_2_E",0.521,0.495,0,0.982,0.222
"19","crit_3_2_F",0.561,0.603,0.007,1,0.25
"20","exposure_scaled",0.511,0.517,0.02,1,0.223
"21","sensitivity_scaled",0.601,0.623,0,1,0.176
